desig,org,desc
,,
GM - Information Technology,GRT JEWELLERS (INDIA) PRIVATE LIMITED,
"Asstt Manager, Information Technology",Concentrix Daksh Services India Private Limited.,YEARS OF EXPERIENCE	:	4 Plus years;Hands on experience in Server Hardware including Rack and Blade ...
Non-unionized Supervisor (Technical) - Information Technology,Andrew Yule & Company Limited,
Senior Manager Information Technology Audit,Flex,
Senior Analyst - Information Technology Services - Premium Institute,Everest Group,The candidate will be required to deliver custom research engagements on broader IT services themes that ...
Practice Director - Information Technology Services,Everest Group,"The candidate must be able to analyze, write, participate actively in the sales cycle, consult, present ..."
Engineer Trainee (Computer/ Information Technology),Indian Institute of Astrophysics,
Diploma Apprentices - Information Technology,"Accessories Division, Lucknow",
Guest Faculty - Information Technology,Mizoram University,
Graduate Apprenticeship Training - Information Technology,HIL (India) Limited,
Head- Information Technology,OM Human Resource Agency Pvt. Ltd.,
Information Technology  Auditor cum IT Auditor for a Bank in Mumbai,One March India,
VisitingÂ / Adjunct Professor - Information Technology and Society,International Institute of Information Technology Bangalore,
ProfessorÂ  - Information Technology and Society,International Institute of Information Technology Bangalore,
Associate Professor - Information Technology and Society,International Institute of Information Technology Bangalore,
Assistant Professor - Information Technology and Society,International Institute of Information Technology Bangalore,
Vmware Engineer - Information Technology,Newgen Software Technologies Ltd.,
Server/system Administrator - Information Technology,Newgen Software Technologies Ltd.,
Assistant Manager Information Technology,Max Healthcare Institute Ltd, Vendor Coordination  Budget & Commercials  IT Infra  Business ...
Network Engineer - Information Technology,Newgen Software Technologies Ltd.,
Senior Engineer - Information Technology,Onmobile Global Limited,Would be responsible for overall network and security infrastructure management of organization for both ...
Junior Office Assistant (Information Technology),Dr. Yashwant Singh Parmar University of Horticulture & Forestry,
Lead  -  Information Technology,OnMobile Asia Pacific Pvt Ltd,OnMobile Openings :: Lead  -  Information Technology Lead  -  Information Technology Lead ...
Assistant Professor in Information Technology Department (IT),Shail Educational and Welfare Society,
Skill Assistant Professor - Computer Science Engineering/Information Technology,Haryana Vishwakarma Skill University,
Skill Associate Professor - Computer Science Engineering/Information Technology,Haryana Vishwakarma Skill University,
Skill Professor - Computer Science Engineering/Information Technology,Haryana Vishwakarma Skill University,
Head Information Technology,Genius Consultant Ltd,- Need to work on Oracle R12  - Need to work on various ERP  - Responsible for IT ...
Urgently Require Dy Manager - Information Technology (system Admin),Durr India Pvt. Ltd.,"11.	Experience in Storage Management with big data;Like the OEMs themselves, Durr has expanded its ..."
Head - Information Technology (IT),Sustainable Agro-Commercial Finance Ltd,- Interact with vendors and gather required information to make purchasing ...
Head - Information Technology - NBFC,Consult ShekharPandey,- Utilize your experience in using enterprise-wide requirements definition and management systems and ...
Head - Information Technology - Manufacturing,Symmetrical Global Search Pvt. Ltd,- Strategic role for contribution to business planning regarding technology and systems required to ...
Regional Sales Head - Information Technology & Services Firm,Morpheus Consulting,Job Title: Regional Sales Head - Mumbai  Job Description: A Leading Information Technology and ...
General Manager - Information Technology - Oil Refinery Firm,HeadPro Consulting LLP,- Applicants should have good exposure towards planning budget for IT activities across the business ...
"Manager Information Technology for Australia, call to Apply",Maple Fly Services Pvt Ltd.,"Manager Information Technology/ IT MANAGER Req  for Australia, Canada, Singapore, Malaysia, Middle East, ..."
Regional Sales Head - Information Technology & Services Firm,Premium,Job Title: Regional Sales Head - Mumbai   Job Description: A Leading Information Technology and ...
,,
,,
Assistant Manger-information Technology,Takshasila Hospitals Operating Pvt. Ltd, Experience: 6+ years of experience; Experience in Healthcare Industry is ...
VP - Information Technology with a 25 year old General Insurance Co.,Contactx Resource Management,- Job experience should be between 15 years to 20 Years in IT functions in General Insurance company ...
Head/vp/gm-technology(it) / Information Technology Head,Ventura Holidays Pvt Ltd,"Will be work on Software Requirement Specification (SRS) modeling, technical and workflow documentation, ..."
AGM - Digital Transformation/information Technology - Digital Platform,Â Intellectual Capital HR Consulting Pvt Ltd,To design the Digital Transformation for the organization. Lead the process of imagining & creating ...
Senior Recruiter,Bikham Information Technology Pvt Ltd,  *Applicants with recruitment experience from ITES industry or Consultancy background will be ...
Administration Executive,Bikham Information Technology Pvt Ltd,  *Applicants with relevant experience from ITES industry will be preferred;*Applicant must be ...
Assistant Manager- Credential Department (us-healthcare),Bikham Information Technology Pvt Ltd,We are Looking for a Credential Expert with relevant experience of 3 to 4 years from US- Health care ...
Web Application DeveloperÂ Â andÂ Â e-commerce Developer,SMART SKILL TECH PRIVATE LIMITED,"There is an urgent requirement in Japan for the skilled IT professionals having 1-2 years of experience, ..."
Executive Trainees - Information Technology,Cochin Shipyard limited,
Executive Trainee - Information Technology,Cochin Shipyard Limited,
"Manager Information Technology for Australia, Canada, call to Apply",IMPULSE IMMIGRATION SOLUTIONS PRIVATE LIMITED,
Technical Officer - Information Technology,CSIR-Indian Institute of Petroleum,
Associate Professors - Computer Science & Information Technology,Maulana Azad National Urdu University,
Technician - Information Technology,CSIR-Indian Institute of Petroleum,
,,
,,
,,
Manager - Information Technology,Cameo Corporate Services Limited,
HR Information Technology Analyst,Skyhigh Networks Technologies Pvt Ltd,
Sr. Manager IT (information Technology),Systematix Shares and  Stocks (I) Ltd,
Manager (Information Technology),National Highways Authority of India,
Head - Information Technology(mumbai),Pharmaceuticals Ltd,
Post Doctoral Fellows - Information Technology,Indian Institute of Technology Delhi,
Post Doctoral Fellows - Information Technology,Indian Institute of Technology Delhi,
Associate Professor - Information Technology,Bapatla Engineering College,
Professor - Information Technology,Bapatla Engineering College,
Professor - Information Technology Engineering,Guru Ghasidas Vishwavidyalaya,
Associate Professor - Information Technology Engineering,Guru Ghasidas Vishwavidyalaya,
Associate Professor - Computer Science & Information Technology (CSIT),Guru Ghasidas Vishwavidyalaya,
Assistant Professor - Computer Sc. & Information Technology,Guru Ghasidas Vishwavidyalaya,
Professor - Information Technology and Systems,Indian Institute of Management Lucknow,
Associate Professor - Information Technology and Systems,Indian Institute of Management Lucknow,
Assistant Professors - Information Technology and Systems,Indian Institute of Management Lucknow,
Junior Executive (Information Technology),Airports Authority of India,
Sr Manager-information Technology(business Application)-leading QSR,V SQUARE CONSULTANTS,Requirement specification and UAT for new web based applications (eg for HR / Training and Mktg);Some ...
Requirement For IT Manager In Canada And Australia,Countrywide,
Senior Engineering Manager - Bi/analytics,Premium,College degree in Computer Science/Information Technology or equivalent experience in the information ...
Senior Software Engineer - Mainframe z/OS,Premium,"8+ years mainframe (z/OS) software engineering experience, developing commercially successful ..."
Software Engineer - z/OS,Premium,"Preferably 5+ years mainframe (z/OS) software engineering experience, developing commercially successful ..."
Software Engineer - JAVA / Eclipse,Client of Hiring Achievers,"5+ years Java, Eclipse software engineering experience, developing commercially successful applications ..."
Software Engineer/sr. Software Engineer - Java/j2ee,Client of Hiring Achievers,"8+ years Java software engineering experience, developing commercially successful applications that are, ..."
Technical Recruiter - Software / IT (domestic India),Dhruvsoft Services Pvt Ltd,2-5 years experience on as IT Recruiter in a corporate or IT recruitment firm;Although the position has ...
Content Writer,Cemetrix Inc.,"Your primary activity would be in Marketing division but in general, you would be the writer for the ..."
Content Writer,Cemetrix Inc.,"Your primary activity would be in Marketing division but in general, you would be the writer for the ..."
Telecaller Operation Manager,MEDDCO- Healthcare IT firm,
"Internship: tech Support, BD, Work from Home",GAO GROUP INC,
"Internship: tech Support, BD, Work from Home",GAO GROUP INC,
"Internship: tech Support, BD, Work from Home",GAO GROUP INC,
IT Project Coordinator,Net Avenue Technologies Private Limited,
"Internship: tech Support, BD, Work from Home",GAO GROUP INC,
Solutions Architect - Contact Centre2,Thats My Job,"- Expert level experience defining the system architecture landscape, identifying gaps between current ..."
Sr. SW Engineer,Dell International Services India  Private Limited,
Senior Manager Software Engineer IT,Dell International Services India  Private Limited,
,,
,,
Principal SW Engineer - IT,Dell International Services India  Private Limited,
Salesforce Integration,Accenture,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...
Salesforce,Accenture,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...
Solutions Architect - Contact Centre,Black Olive Recruitment & Staffing Company,Work Experience Required:  8 yrs to 12 yrs exp    28 - 38 yrs age only;- Expert level experience ...
Servicenow Project Manager - ITIL,Nastech Consulting,- 8 to 10 years of experience in Information Technology supporting a complex production environment ...
Ui/ux Designer - Web Applications,Client of New Way India,Job_opening for UI/UX Designer at Goa location.  Experience 3 to 5 Years  JD : ...
Senior Consultant - CPQ - Erp/crm Applications,Apex IT,"- Experience- Minimum 8-10 Years of experience with strong ERP/CRM background, including experience of ..."
Quatrro is Hiring for BAM Analyst,Quatrro Global Services Pvt. Ltd.,
